Size,BubbleSort,InsertionSort,MergeSort,QuickSort_Begin,QuickSort_End,QuickSort_MedianOfThree,QuickSort_Middle,QuickSort_Random,SelectionSort
100,4170,603,490,1611,1043,695,502,688,4950
1000,486620,57809,7960,44414,30294,11131,10351,10988,499500
5000,12497329,1436589,52933,154979,165945,79251,74831,72420,12497500
10000,49979949,5955825,115962,457102,320983,166282,175204,157654,49995000
50000,1249438870,144308955,692462,2275409,1927395,1006489,1129407,921728,1249975000
