Size,BubbleSort,InsertionSort,MergeSort,QuickSort_Begin,QuickSort_End,QuickSort_MedianOfThree,QuickSort_Middle,QuickSort_Random,SelectionSort
100,14850,5148,1344,8094,7944,1503,1197,1221,150
1000,1498500,501498,19952,755994,754494,28347,16518,18918,1500
5000,37492500,12507498,123616,18779994,18772494,192939,101160,130542,7500
10000,149985000,50014998,267232,75059994,75044994,430815,218025,257457,15000
50000,3749925000,1250074998,1568928,1875299994,1875224994,2695791,1273560,1450698,75000
