Size,BubbleSort,InsertionSort,MergeSort,QuickSort_Begin,QuickSort_End,QuickSort_MedianOfThree,QuickSort_Middle,QuickSort_Random,SelectionSort
100,4950,4950,316,4950,4950,851,514,644,4950
1000,499500,499500,4932,499500,499500,15995,8406,10297,499500
5000,12497500,12497500,29804,12497500,12497500,108443,53682,72417,12497500
10000,49995000,49995000,64608,49995000,49995000,242135,117534,148072,49995000
50000,1249975000,1249975000,382512,1249975000,1249975000,1504807,706118,938077,1249975000
