Size,BubbleSort,InsertionSort,MergeSort,QuickSort_Begin,QuickSort_End,QuickSort_MedianOfThree,QuickSort_Middle,QuickSort_Random,SelectionSort
100,58,7,32,9,9,10,9,13,31
1000,5221,582,349,166,160,189,159,204,4341
5000,128627,6701,877,441,444,482,474,661,67741
10000,245579,11851,1875,873,880,895,858,1026,144013
50000,5251575,436160,4306,2417,2666,4271,4187,3905,2415375
