Size,BubbleSort,InsertionSort,MergeSort,QuickSort_Begin,QuickSort_End,QuickSort_MedianOfThree,QuickSort_Middle,QuickSort_Random,SelectionSort
100,4922,2556,540,609,665,695,651,848,4950
1000,499224,245105,8692,11548,10539,11371,10792,10677,499500
5000,12494340,6264471,55265,69748,72435,69754,68442,71050,12497500
10000,49981139,25040245,120442,148072,151145,147305,162702,156173,49995000
50000,1249938144,626258212,718091,966598,928256,901094,945322,955909,1249975000
