Size,BubbleSort,InsertionSort,MergeSort,QuickSort_Begin,QuickSort_End,QuickSort_MedianOfThree,QuickSort_Middle,QuickSort_Random,SelectionSort
100,7380,2658,1344,1362,1347,1143,1245,1695,288
1000,732351,246115,19952,23229,21060,18537,20994,19011,2970
5000,18778443,6269479,123616,130605,106206,110775,120327,111549,14988
10000,75090762,25050252,267232,276930,272019,232473,291459,256752,29970
50000,1878624684,626308226,1568928,1615635,1584894,1337682,1720935,1625844,149967
