Size,BubbleSort,InsertionSort,MergeSort,QuickSort_Begin,QuickSort_End,QuickSort_MedianOfThree,QuickSort_Middle,QuickSort_Random,SelectionSort
100,27,4,5,5,5,2,2,3,8
1000,2830,260,40,230,232,21,19,30,921
5000,63877,5437,257,7830,8680,106,96,172,26340
10000,247116,33725,514,42216,45700,252,228,367,100401
50000,6115209,651041,1942,624881,772555,1844,1175,2222,3131319
