Size,BubbleSort,InsertionSort,MergeSort,QuickSort_Begin,QuickSort_End,QuickSort_MedianOfThree,QuickSort_Middle,QuickSort_Random,SelectionSort
100,1512,702,1344,891,1947,969,1143,1401,30
1000,170430,58808,19952,24927,79833,14991,22314,20151,300
5000,4294770,1441588,123616,147921,283803,95517,155367,122775,1500
10000,17837478,5965824,267232,305286,489375,205044,362157,292464,2994
50000,432776868,144358954,1568928,1997331,3478077,1222032,2254854,1564488,15000
